frame_id,set,condition,file,sha256,width,height,n_prelabel
c01,C,rainy,frames/lab/c01.jpg,23df54e71cade93b32e21264baa5d2d0682c28cc9317e1a40ab07bb14f2e1d73,960,540,7
c02,C,sunny,frames/lab/c02.jpg,c921eaeebdcf27ed6512a42500fa408362d41e034f8934596b6d214e60b17eef,960,540,12
c03,C,cloudy,frames/lab/c03.jpg,1b9f9544ea20b83b811abdcff4294bb54ed45ee9edc7e597d451febbf02c4a81,960,540,6
c04,C,night,frames/lab/c04.jpg,c730d413292633da8be51dcc831e465f886e267e3415e81ece2e89edce90295f,960,540,7
d01,demo,sunny,frames/lab/d01.jpg,2ab5fe854aca6fb007097ce72d69a077524f550d1f4beff84ece957952fd0b62,960,540,12
x01,X,night,frames/lab/x01.jpg,ef56b3f5e1bc97f939ae882afd98170ccd377766fe7816bfa4510ccb4216ece3,960,540,5
x02,X,night,frames/lab/x02.jpg,4de75d6299ce80f704bdff37a7c0ecb823a822c4b1f475fdf1bdaef87f936637,960,540,11
x03,X,rainy,frames/lab/x03.jpg,8317c5185a6540a3ee9c6147ca37765f918a2d129b8857d5dc48cfef532b36ed,960,540,6
x04,X,sunny,frames/lab/x04.jpg,bc93ac24d8d9c73b5e759eda8752c56283bc417be1007af01de6e7574793c783,960,540,12
x05,X,cloudy,frames/lab/x05.jpg,73582f48cb61a468a97cdb3cde942b0b173f3507ac7f80900a948d1913475bd1,960,540,9
x06,X,cloudy,frames/lab/x06.jpg,e48f9916711e31e6c9681a4e46ee3b9e6ec44d0e2478aa4119ee9c71f36bcab1,960,540,7
y01,Y,night,frames/lab/y01.jpg,1be75caf9c6c0acbc2c6dcf34ff3328881573d92a4aef0220c797c67fe5b8a1a,960,540,6
y02,Y,night,frames/lab/y02.jpg,b617f18cb1e0165e7ad0e439d07e2df2e30ec3d2571ced98c9344daa417a90da,960,540,10
y03,Y,rainy,frames/lab/y03.jpg,50bdfc7a6f484faa26a8174b1730d402df53c72cad1b268f077bb2ad8ecf5194,960,540,6
y04,Y,sunny,frames/lab/y04.jpg,6d6427a927a26deca3eee4f798ed008b32ecda067f09e1168a0ba36ad82d6d77,960,540,13
y05,Y,cloudy,frames/lab/y05.jpg,7b4cd4d7873dab734a68451e697c28db846784e6a993cedb88a537087a36a0ab,960,540,10
y06,Y,cloudy,frames/lab/y06.jpg,16ff9911de5e73b6c949109cc889aef9be6461076dee4d1fd41b587335fcf51d,960,540,8
